Trade,Name,Phone,Email,Address,Rating,Reviews,Post_Date,Status,Source_URL
Plumbing,Puget Seattle Plumbers and Drain Cleaning Co.,(206) 360-0078,,"81 Pike St, Seattle, WA 98101, USA",4.8,36,,Active,https://maps.google.com/?cid=12430300646633656177
Plumbing,Expert Seattle Plumber WA,(253) 235-1627,,"2620 NE 46th St, Seattle, WA 98105, USA",5,15,,Active,https://maps.google.com/?cid=3418090151230636696
Plumbing,Custom Seattle Plumbing & Drain,(206) 456-7201,,"159 Denny Wy Ste 133, Seattle, WA 98109, USA",5,12,,Active,https://maps.google.com/?cid=10946375025782600788
Plumbing,Emergency Plumbing Company,(564) 214-0440,,"348 15th Ave E, Seattle, WA 98112, USA",5,17,,Active,https://maps.google.com/?cid=1081935419206401578
Plumbing,Gary Fox Plumbing & Heating,(253) 518-0719,,"819 Virginia St UNIT 3401, Seattle, WA 98101, USA",5,6,,Active,https://maps.google.com/?cid=2319082546346231761
Plumbing,Masterflow Plumbing Seattle,(564) 220-5490,,"5350 Tallman Ave NW Suite 32, Seattle, WA 98107, USA",5,23,,Active,https://maps.google.com/?cid=8242308888935584837
Plumbing,Splash Plumbing Llc,(206) 914-3779,,"828 21st Ave, Seattle, WA 98122, USA",4.3,12,,Active,https://maps.google.com/?cid=7127875582468112632
Plumbing,Seattle Emergency Plumber Kings,(206) 307-0493,,"801 NW 42nd St STE 14, Seattle, WA 98107, USA",4.8,24,,Active,https://maps.google.com/?cid=7724446596837827721
Plumbing,Prime Valley Plumbing Seattle,(206) 414-1372,,"3623 SW Alaska St Unit 174, Seattle, WA 98126, USA",5,6,,Active,https://maps.google.com/?cid=4274642474240461349
Plumbing,Garrett & Sons Water Heaters,(206) 809-6961,,"202 N 36th St #7550, Seattle, WA 98103, USA",4.8,94,,Active,https://maps.google.com/?cid=6493229668874148762
Plumbing,RescueLine Plumbing,(564) 264-7459,,"3123 W Raye St, Seattle, WA 98199, USA",5,15,,Active,https://maps.google.com/?cid=9092615795967758781
Plumbing,QuickSeal Plumbing Services,(564) 214-0446,,"7038 50th Ave NE, Seattle, WA 98115, USA",5,16,,Active,https://maps.google.com/?cid=13536969269571770475
Electrical,Home Electricіan Seattle,(206) 207-2638,,"916 Maynard Ave S, Seattle, WA 98134, USA",5,22,,Active,https://maps.google.com/?cid=5378795549258232215
Electrical,Home Electricіan Seattle,(206) 774-8682,,"449 Madison St, Seattle, WA 98164, USA",5,11,,Active,https://maps.google.com/?cid=14661237211618896123
Electrical,First Property Electrician Seattle,(206) 207-2833,,"6656 Corson Ave S, Seattle, WA 98108, USA",5,17,,Active,https://maps.google.com/?cid=9915232911739912113
Electrical,Sparky Electricians Seattle,(564) 262-5919,,"520 Pike St # 21, Seattle, WA 98101, USA",5,14,,Active,https://maps.google.com/?cid=18091758163878258848
Electrical,Home Electricіan Seattle,(206) 529-4297,,"2318 California Ave SW, Seattle, WA 98116, USA",5,21,,Active,https://maps.google.com/?cid=17322885849775169755
Electrical,On Call Electrician Seattle,(360) 209-7907,,"2763 5th Ave S, Seattle, WA 98104, USA",4.6,9,,Active,https://maps.google.com/?cid=16081549931625039424
Electrical,Home Electrician Seattle,(206) 844-5720,,"910 S Hinds St, Seattle, WA 98134, USA",5,4,,Active,https://maps.google.com/?cid=15180129432335581027
Electrical,Nova Electrician Seattle,(206) 647-3533,,"724 N 92nd St, Seattle, WA 98103, USA",5,1,,Active,https://maps.google.com/?cid=13706516868210725360
Electrical,Prism 3D Tours,(208) 953-1949,,"1200 Mercer St UNIT 106, Seattle, WA 98109, USA",4.9,7,,Active,https://maps.google.com/?cid=2591524683745978294
Electrical,Beacon Hill Electric Llc,(425) 780-6718,,"4133 15th Ave S, Seattle, WA 98108, USA",5,15,,Active,https://maps.google.com/?cid=16357643801736931379
Electrical,White Electrician Seattle,(206) 761-7856,,"9201 6th Ave NW, Seattle, WA 98117, USA",4.8,5,,Active,https://maps.google.com/?cid=5312620793218143824
Electrical,Lumen Electric LLC,(206) 468-9118,,"904 Occidental Ave S Suite B, Seattle, WA 98134, USA",5,2,,Active,https://maps.google.com/?cid=15056553263855510427
Electrical,STAR POWER ELECTRIC,(206) 239-8424,,"Lake Washington Blvd S, Seattle, WA 98118, USA",5,9,,Active,https://maps.google.com/?cid=16277520176903184579
Electrical,Quality Electric Contracting,(564) 212-6316,,"2211 Queen Anne Ave N, Seattle, WA 98109, USA",5,3,,Active,https://maps.google.com/?cid=16550547013796894100
Electrical,"Seattle Electric, Inc",(206) 749-1200,,"2501 Westlake Ave N Suite A, Seattle, WA 98109, USA",5,1,,Active,https://maps.google.com/?cid=11421790824237573094
HVAC,Seattle Heating & Air Conditioning,(206) 339-8180,,"1314 E Union St, Seattle, WA 98122, USA",4.6,19,,Active,https://maps.google.com/?cid=11661991066295560345
HVAC,Seattle AC And Heating Contractors,(564) 262-5516,,"903 Union St, Seattle, WA 98101, USA",,,,Active,https://maps.google.com/?cid=7695527265775671525
HVAC,Seattle Heating and Air Conditioning,(425) 552-8077,,"1400 12th Ave, Seattle, WA 98122, USA",5,7,,Active,https://maps.google.com/?cid=7450743624512777192
HVAC,Seattle Heating And Air Conditioning Repair,(206) 259-9839,,"1011 3rd Ave, Seattle, WA 98104, USA",4.7,9,,Active,https://maps.google.com/?cid=4036477977017308912
HVAC,Seattle Heating & Cooling,(206) 736-5141,,"1120 Pike St, Seattle, WA 98101, USA",4.9,18,,Active,https://maps.google.com/?cid=13669463218081764975
HVAC,Seattle Heating and Air Conditioning,(206) 414-3367,,"1538 Occidental Ave S, Seattle, WA 98134, USA",4.7,20,,Active,https://maps.google.com/?cid=9716793351912950332
HVAC,Heating & Air Conditioning Seattle,(206) 339-5480,,"321 1st Ave S, Seattle, WA 98104, USA",3.5,18,,Active,https://maps.google.com/?cid=5256461169412316543
HVAC,Seattle Heating & Air Conditioning,(425) 552-5603,,"6414 Roosevelt Way NE, Seattle, WA 98115, USA",4.3,18,,Active,https://maps.google.com/?cid=15065469984423596771
HVAC,Heating and Air Conditioning Seattle,(206) 339-6818,,"3910 Aurora Ave N, Seattle, WA 98103, USA",4.5,14,,Active,https://maps.google.com/?cid=14253691257059722856
HVAC,Seattle Heating & Air Conditioning,(425) 552-8059,,"901a Occidental Ave S, Seattle, WA 98134, USA",3.4,7,,Active,https://maps.google.com/?cid=4774706786766798973
HVAC,OX HVAC Contractor Seattle LLC,(360) 291-5117,,"7718 S 118th St, Seattle, WA 98178, USA",5,21,,Active,https://maps.google.com/?cid=11997149046450515953
HVAC,Heating and Cooling Repair Seattle,(206) 339-5480,,"1006 NE 65th St, Seattle, WA 98115, USA",4.1,9,,Active,https://maps.google.com/?cid=11109416695191577237
HVAC,Seattle Heating & Cooling,(425) 552-8083,,"720 8th Ave S, Seattle, WA 98104, USA",5,7,,Active,https://maps.google.com/?cid=16390170866313833002
HVAC,Seattle Air Conditioning & Heating,(206) 414-4878,,"1722 N 45th St, Seattle, WA 98103, USA",5,8,,Active,https://maps.google.com/?cid=13426690370183945153
HVAC,Seattle Heating & Air Conditioning Services,(425) 552-7984,,"312 N 83rd St, Seattle, WA 98103, USA",5,9,,Active,https://maps.google.com/?cid=15781100147093043066
HVAC,Heating & Air Conditioning Seattle,(206) 414-4738,,"8822 Renton Ave S, Seattle, WA 98118, USA",4.3,19,,Active,https://maps.google.com/?cid=15062105698776272368
HVAC,Seattle Heating & Cooling,(425) 650-6593,,"13030 Linden Ave N, Seattle, WA 98133, USA",4.7,12,,Active,https://maps.google.com/?cid=7967560419430886364
HVAC,Seattle Heating & Cooling,(206) 339-8180,,"1454 N 130th St, Seattle, WA 98133, USA",4.8,13,,Active,https://maps.google.com/?cid=5260592155197425168
HVAC,Seattle Heating & Cooling,(206) 237-8470,,"8609 14th Ave S, Seattle, WA 98108, USA",5,8,,Active,https://maps.google.com/?cid=12850235962783558914
HVAC,Seattle Heating & Cooling,(425) 552-7985,,"9062 Delridge Wy SW, Seattle, WA 98106, USA",4.7,15,,Active,https://maps.google.com/?cid=11534621159785336885
HVAC,Seattle Heating & Cooling,(206) 414-3809,,"6029 Roosevelt Way NE, Seattle, WA 98115, USA",4.1,16,,Active,https://maps.google.com/?cid=16565755303679541965
HVAC,Seattle Heating and Air Conditioning,(206) 339-7450,,"6553 42nd Ave SW, Seattle, WA 98136, USA",4.5,17,,Active,https://maps.google.com/?cid=13870640900197913267
HVAC,Seattle Quality Heating And Air Conditioning,(253) 340-2423,,"4212 S Othello St, Seattle, WA 98118, USA",4.8,22,,Active,https://maps.google.com/?cid=4885074989300132742
HVAC,Garrett & Sons Water Heaters,(206) 809-6961,,"202 N 36th St #7550, Seattle, WA 98103, USA",4.8,94,,Active,https://maps.google.com/?cid=6493229668874148762
HVAC,Smart Residential Services Inc.,(253) 354-7938,,"416 2nd Ave Ext S, Seattle, WA 98104, USA",5,4,,Active,https://maps.google.com/?cid=16394083521768526974
Carpentry,Early Bird Roof Repair And Replacement,(206) 339-3656,,"1117 Pike St #301, Seattle, WA 98101, USA",5,14,,Active,https://maps.google.com/?cid=604958525618674866
Carpentry,Columbia City Custom,(206) 359-0611,,"4806 43rd Ave S, Seattle, WA 98118, USA",5,4,,Active,https://maps.google.com/?cid=9791727841923646283
Carpentry,Timothy's Roof Repair And Replacement,(206) 339-0017,,"1175 Harrison St, Seattle, WA 98109, USA",5,15,,Active,https://maps.google.com/?cid=13045334140287806278
Carpentry,Village Framers Corporation,(206) 297-2087,,"700 NW 42nd St Suite 219, Seattle, WA 98107, USA",5,1,,Active,https://maps.google.com/?cid=12760600180734144013
Carpentry,Da Vinci Design & Build,(360) 361-8632,,"9406 17th Ave NE, Seattle, WA 98115, USA",5,11,,Active,https://maps.google.com/?cid=1586403422386017592
Carpentry,Highlands Framing Contractor,(425) 524-9805,,"4140 NE 11th St, Renton, WA 98059, USA",,,,Active,https://maps.google.com/?cid=16233371207226153484
Carpentry,Fairwind Construction,(206) 412-4613,,"829 NE 94th St, Seattle, WA 98115, USA",3.7,3,,Active,https://maps.google.com/?cid=643592923106051442
Carpentry,AA Defined Exteriors,(360) 306-8714,,"1264 Westlake Ave N, Seattle, WA 98109, USA",4.6,16,,Active,https://maps.google.com/?cid=2732420848956551398
Roofing,Timothy's Roof Repair And Replacement,(206) 339-0017,,"1175 Harrison St, Seattle, WA 98109, USA",5,15,,Active,https://maps.google.com/?cid=13045334140287806278
Roofing,Early Bird Roof Repair And Replacement,(206) 339-3656,,"1117 Pike St #301, Seattle, WA 98101, USA",5,14,,Active,https://maps.google.com/?cid=604958525618674866
Roofing,Bright Star Roofing,(206) 350-0874,,"3203 W Lynn St, Seattle, WA 98199, USA",5,13,,Active,https://maps.google.com/?cid=4981703864836702573
Roofing,Sunrise Roofing,(206) 339-1036,,"4800 40th Ave SW, Seattle, WA 98116, USA",5,14,,Active,https://maps.google.com/?cid=13819210906259937639
Roofing,Adams Family Roofing,(206) 672-3100,,"507 7th Ave S, Seattle, WA 98104, USA",4.9,80,,Active,https://maps.google.com/?cid=602496870023891328
Roofing,Seattle Roofing Contractors,(425) 799-2249,,"501 Boren Ave N, Seattle, WA 98109, USA",5,1,,Active,https://maps.google.com/?cid=1858389389229496736
Roofing,Star Roof Repair And Replacement,(206) 339-3674,,"1308 Seneca St, Seattle, WA 98101, USA",,,,Active,https://maps.google.com/?cid=15950379412632663097
Roofing,Davis Brothers Roofing & Remodeling,(206) 600-6966,,"3935 University Wy NE, Seattle, WA 98105, USA",4.8,88,,Active,https://maps.google.com/?cid=10567657474081865852
Roofing,Eagle Eye Roofing,(425) 552-8809,,"720 8th Ave S, Seattle, WA 98104, USA",,,,Active,https://maps.google.com/?cid=1809436651101600015
Roofing,Seattle Authentic Roofing & Siding,(253) 765-5754,,"1908 S Bush Pl, Seattle, WA 98144, USA",5,5,,Active,https://maps.google.com/?cid=7777488225356266883
Roofing,Vasa Roofing West Seattle,(206) 202-7779,,"4025 Delridge Wy SW #1, Seattle, WA 98106, USA",4.5,8,,Active,https://maps.google.com/?cid=1857098750108509512
Landscaping,Grassroots Landscaping,(206) 781-4553,,"1415 2nd Ave #2107, Seattle, WA 98101, USA",5,3,,Active,https://maps.google.com/?cid=4698999871705613040
Landscaping,city landscape services | Lawn Care,(877) 314-4940,,"4571 W Wagner Lane, Seattle, WA 98109, USA",5,1,,Active,https://maps.google.com/?cid=17858999527928807593
Landscaping,Easy Lawn Care & Landscaping LLC,(206) 900-2537,,"7920 191st St SW, Edmonds, WA 98026, USA",4.7,34,,Active,https://maps.google.com/?cid=15683831199072661977
Landscaping,Reliable Gardeners,(206) 753-8882,,"1003 2nd Ave, Seattle, WA 98104, USA",3.5,2,,Active,https://maps.google.com/?cid=13138986389606650934
General Handyman,House Calls Etc. Handyman Service,(206) 618-8974,,"Seattle, WA 98164, USA",4.5,21,,Active,https://maps.google.com/?cid=2397963186751462540
General Handyman,"Mickey ""the Maintenance Man"" LLC",(206) 245-7455,,"3453 NW 59th St, Seattle, WA 98107, USA",5,11,,Active,https://maps.google.com/?cid=7792782035885169265
General Handyman,Patterson Handyman Service LLC,(509) 671-1881,,"520 3rd Ave W, Seattle, WA 98119, USA",5,1,,Active,https://maps.google.com/?cid=6212455402609188073
General Handyman,Seattle Handyman LLC,(206) 415-8024,,"Seattle, WA 98122, USA",1,1,,Active,https://maps.google.com/?cid=13174071391630949968
General Handyman,South Seattle Handyman,(206) 990-3787,,"4312 S Myrtle St, Seattle, WA 98118, USA",4.4,7,,Active,https://maps.google.com/?cid=11893825383684984649
Concrete / Masonry,Seattle Concrete Paving & Masonary,(206) 207-1712,,"6800 East Green Lake Way N #58, Seattle, WA 98115, USA",5,11,,Active,https://maps.google.com/?cid=12398775999758434011
Concrete / Masonry,Stoneway Concrete,(425) 226-1000,,"9216 8th Ave S, Seattle, WA 98108, USA",3.9,21,,Active,https://maps.google.com/?cid=1415045768555335830
Concrete / Masonry,KINGDOM CONCRETE LLC,(206) 228-3763,,"19004 46th Ave S, SeaTac, WA 98188, USA",4.3,6,,Active,https://maps.google.com/?cid=9368882548516618566
Concrete / Masonry,Precision Masonry JBJ Llc,(206) 714-3151,,"Seattle, WA 98104, USA",5,3,,Active,https://maps.google.com/?cid=471115409779655949
Concrete / Masonry,Western Washington Masonry Trade,(206) 768-8333,,"6737 Corson Ave S, Seattle, WA 98108, USA",5,15,,Active,https://maps.google.com/?cid=9871493035118501100
Concrete / Masonry,Seattle Waterproofing and Masonry,(253) 273-3726,,"720 Seneca St Ste 107, Seattle, WA 98101, USA",5,1,,Active,https://maps.google.com/?cid=16748238505166267384
Concrete / Masonry,Evergreen Masonry & Stnwrks,(888) 421-5605,,"10259 26th Ave SW, Seattle, WA 98146, USA",4.2,5,,Active,https://maps.google.com/?cid=17051059155679290039
Concrete / Masonry,Grand Stone Masonry LLC,(206) 775-6300,,"1331 13th Ave S, Seattle, WA 98144, USA",,,,Active,https://maps.google.com/?cid=4766711756326427642
Concrete / Masonry,European Masonry Restoration,(206) 669-4725,,"10002 Aurora Ave N, Seattle, WA 98133, USA",5,6,,Active,https://maps.google.com/?cid=17954262168157701757
Pressure Washing,American Standard Window & Gutter Cleaning - Pressure Washing,(206) 375-8460,,"5033 Bowen Pl S, Seattle, WA 98118, USA",5,1,,Active,https://maps.google.com/?cid=7199076273657855850
